     X (m)          Y (m)        Depth (m)
     30.2347       76.1774      -38.4618 
     32.2952       76.1210      -38.3770 
     34.2428       76.0951      -38.3094 
     46.3160       76.0669      -37.9623 
     56.2421       76.1278      -37.8121 
     60.2284       76.2357      -37.8567 
     62.3420       76.1112      -37.7842 
     64.2406       76.1206      -37.7795 
     68.3454       76.1588      -37.7313 
     70.2598       76.1027      -37.6856 
     78.2570       76.0909      -37.5671 
     20.3171       78.1795      -38.5123 
     26.2523       78.1703      -38.3903 
     28.2283       78.1214      -38.3254 
     30.3057       78.1630      -38.2919 
     36.3101       78.0794      -37.9700 
     38.2834       78.2308      -37.9113 
     44.3689       78.1203      -37.8204 
     46.3195       78.2100      -37.8585 
     48.1857       78.0765      -37.8416 
     50.2472       78.1290      -37.7122 
     52.3156       78.1988      -37.7181 
     62.3042       78.1619      -37.5795 
     64.2117       78.1228      -37.6004 
     68.3309       78.1925      -37.5631 
     22.2796       80.0958      -38.4684 
     24.3390       80.1705      -38.2644 
     32.2497       80.1016      -38.0614 
     34.2489       80.1340      -37.9055 
     14.2839       82.1833      -38.6839 
     20.2762       82.1170      -38.3947 
     32.1839       82.1656      -37.8202 
     14.2728       84.1861      -38.4580 
     24.2634       84.1404      -37.9881 
     18.2635       86.1821      -38.1547 
     22.1975       10.1684      -38.6113 
     34.2089       10.0995      -38.6900 
     36.2664       10.0744      -38.7182 
     80.2942       10.1553      -39.2608 
     90.3355       10.1335      -39.2111 
     16.3180       12.1766      -38.7264 
     18.3297       12.2135      -38.6616 
     24.3353       12.1594      -38.9923 
     26.3360       12.0642      -39.0306 
     30.2864       12.1731      -39.0809 
     34.1984       12.1259      -38.8764 
     36.2520       12.1650      -38.9282 
     20.2535       14.0914      -39.0861 
     16.2450       16.1524      -39.1958 
     18.1732       16.1259      -39.1549 
     20.2659       16.1339      -39.1661 
     30.2801       16.1869      -39.1581 
     74.2398       16.1268      -38.8284 
     12.2372       18.0905      -39.2115 
     28.3109       18.0711      -39.0257 
     42.2716       18.1351      -38.7992 
     48.2285       18.0732      -38.8546 
     62.2660       18.2113      -38.7161 
     68.2167       18.1021      -38.7125 
     80.2598       18.1028      -38.7584 
     88.2850       18.0342      -38.8994 
     10.2055       20.1260      -39.1712 
     14.2882       20.1352      -39.0470 
     16.2340       20.1922      -39.1068 
     20.2799       20.1381      -39.0340 
     32.2776       20.1324      -38.7923 
     36.3196       20.1861      -38.6700 
     42.2952       20.0501      -38.7509 
     46.2523       20.0902      -38.7131 
     50.3204       20.1759      -38.5769 
     64.2938       20.1208      -38.5442 
     84.2809       20.0701      -38.7484 
     10.1987       22.0531      -39.0707 
     12.3024       22.1327      -39.0270 
     22.2975       22.1555      -38.8196 
     28.3272       22.1272      -38.7678 
     34.2239       22.0947      -38.5390 
     36.2650       22.0775      -38.5920 
     84.2451       22.1395      -38.3981 
     90.2135       22.1158      -38.4567 
     18.2269       24.1773      -38.7402 
     20.2449       24.1102      -38.7750 
     22.2625       24.1795      -38.7244 
